user_id,full_name,contact_email,mobile_number,password,last_login
USR0001,Vaishno Banerjee,indra.guneta@gmail.com,8434697104,Coffee2698!,Mon Aug 31
USR0002,Param Patel III,rajan.iyengar@hotmail.com,6807117020,Tiger195!,Tue Sep 01
USR0003,Manisha Singh,lakshminath.mishra@gmail.com,8593215380,Coffee1291!,Tue Aug 25
USR0004,Maheswar Naik,rajinder.varrier@gmail.com,7319128827,Cricket8953!,Tue Jul 21
USR0005,Mr. Bhudeva Desai,laxmi.sharma@hotmail.com,6459961874,Rocket8918!,Mon Aug 10
USR0006,Gita Gill,amritambu.embranthiri@hotmail.com,6130645003,Falcon8327!,Sun Aug 30
USR0007,Atreyi Nambeesan,siddarth.embranthiri@gmail.com,6795251346,Coffee8272!,Mon Aug 24
USR0008,Rajiv Singh,ekaaksh.patil@gmail.com,8202488440,Tiger1708!,Thu Jul 23
USR0009,Shantanu Varma,ameyatma.joshi@gmail.com,9652856964,Rocket4277!,Sat Jun 13
USR0010,Geeta Guneta,trilokesh.namboothiri@hotmail.com,9006260569,Sunrise8966!,Mon Jul 06
USR0011,Girija Trivedi,dhara.menon@gmail.com,8601293996,Falcon5587!,Mon Jul 06
USR0012,Abhisyanta Verma Sr.,vaishno.bhattathiri@yahoo.co.in,6893223181,Coffee8643!,Thu Aug 06
USR0013,Anila Gill,bhasvan.tandon@hotmail.com,8437900669,Rocket1540!,Mon Aug 03
USR0014,Satyen Pillai,siddhran.gowda@yahoo.co.in,6929010240,Monsoon3052!,Sat Jun 13
USR0015,Shreyashi Iyengar,anila.dwivedi@yahoo.co.in,7222848377,Coffee839!,Sat Jul 11
USR0016,Yogesh Dubashi,sukanya.pandey@hotmail.com,9122049812,Monsoon515!,Sun Aug 09
USR0017,Dev Ahuja,brahma.embranthiri@gmail.com,9017947134,Tiger6329!,Fri Jun 26
USR0018,Deeptimoy Khan,agneya.sinha@yahoo.co.in,7117979538,Chennai2979!,Wed Jun 10
USR0019,Ujjwal Chattopadhyay,rajendra.bhattathiri@yahoo.co.in,6112072883,Cricket1240!,Sun Aug 02
USR0020,Chandak Dhawan,chidaatma.pothuvaal@hotmail.com,8375264048,Tiger7786!,Fri Jul 31
USR0021,Shreyashi Nehru,sucheta.verma@gmail.com,7578697576,Chennai388!,Wed Jul 08
USR0022,Sukanya Acharya,diksha.jain@hotmail.com,7330971546,Monsoon7427!,Thu Jul 23
USR0023,Rajendra Banerjee,ajit.guneta@hotmail.com,8596616225,Monsoon3698!,Mon Jun 22
USR0024,Bhagwanti Pandey,himadri.kaur@gmail.com,9971804076,Monsoon8382!,Sat Jun 13
USR0025,Chandini Dutta,dhatri.kaur@hotmail.com,6010244250,Rocket5787!,Thu Jul 09
USR0026,Sarvin Pillai MD,girik.naik@yahoo.co.in,7072323221,Rocket1511!,Fri Jul 03
USR0027,Pran Saini,gandharva.naik@gmail.com,9389038426,Coffee2008!,Sat Aug 29
USR0028,Kamala Bandopadhyay,ajeet.abbott@yahoo.co.in,8095865316,Chennai8583!,Sun Jul 26
USR0029,Devagya Trivedi,damayanti.johar@gmail.com,6960080528,Tiger7979!,Thu Aug 06
USR0030,Adinath Jain I,karan.kaur@gmail.com,8178087140,Rocket3235!,Mon Jul 06
