loyalty_id,member_name,email_address,phone,aadhaar_number,points_balance
LOY0001,Devagya Kapoor,shashi.gowda@gmail.com,7268098500,128069125506,8929
LOY0002,Anilabh Talwar,chaaruchandra.bharadwaj@hotmail.com,7273933303,794752565574,2731
LOY0003,Ambar Kapoor DDS,brajesh.pilla@yahoo.co.in,9648240643,313525303831,9938
LOY0004,Mrs. Bhilangana Mehrotra,chaaruchandra.rana@gmail.com,9539569877,240829148767,1955
LOY0005,Rita Bandopadhyay,bhushit.kakkar@hotmail.com,6221335444,244773333135,8499
LOY0006,Agnivesh Naik,menka.dutta@gmail.com,8773300654,162270893021,7500
LOY0007,Dipali Gill,mina.pothuvaal@hotmail.com,9135881726,780456376610,8333
LOY0008,Mr. Subhashini Embranthiri,bhoj.guneta@yahoo.co.in,7846383985,771479877456,5198
LOY0009,Tara Mukhopadhyay Jr.,radha.dubashi@yahoo.co.in,9658770550,837858550117,9402
LOY0010,Gobinda Chaturvedi,bhaaswar.verma@hotmail.com,9679789017,767911111422,1744
LOY0011,Chakrika Dubashi,baala.guha@gmail.com,9134752578,536022824238,4378
LOY0012,Chidaatma Tagore V,aaryan.kaul@gmail.com,9598085271,427427896473,8333
LOY0013,Trilochana Gupta,puneet.bharadwaj@yahoo.co.in,6237298004,849646264895,6174
LOY0014,Ujjwal Nayar,dwaipayan.nehru@gmail.com,9747698460,601104899293,7188
LOY0015,Dayaananda Khatri V,amish.tandon@gmail.com,9299509935,862742256124,1868
LOY0016,Upendra Dubashi,charuchandra.patil@gmail.com,6605263862,444939812131,4192
LOY0017,Mangalya Tandon,shakuntala.jain@gmail.com,6147612678,297336132904,9737
LOY0018,Dhanalakshmi Mehrotra,ambar.malik@hotmail.com,7637021821,727533710480,4073
LOY0019,Archan Mehra,vimal.somayaji@hotmail.com,7001677120,795872458996,9900
LOY0020,Deepankar Gowda,amish.kapoor@gmail.com,7856135870,255634123637,9532
LOY0021,Mr. Tanya Varman,aadinath.dwivedi@hotmail.com,7772896869,267577085964,5898
LOY0022,Rakesh Arora,charumati.bhattathiri@hotmail.com,9072983116,250013407739,5686
LOY0023,Amaresh Joshi,shanti.tagore@gmail.com,9313684371,271751110392,8746
LOY0024,Miss Vishnu Kapoor,rajinder.gill@hotmail.com,7651412012,790099739508,9981
LOY0025,Ekaling Nehru I,amodini.shukla@gmail.com,8936272695,139672950738,2418
LOY0026,Rukmin Deshpande MD,anaadi.khatri@hotmail.com,9757850626,292022186879,9799
