supplier_id,supplier_name,contact_email,contact_number,gstin,pan_number,supply_category
SUP0001,Naik Pvt Ltd,girja.gowda@yahoo.co.in,8797646800,29WKWAO6073O9ZA,CYTTU9824H,"Jewelry, Sports & Tools"
SUP0002,"Mahajan, Butt and Patel",chiranjeev.nayar@hotmail.com,7430427691,00VCPGJ4643M2Z1,PMIMN4950D,"Baby, Grocery & Health"
SUP0003,Ahuja and Sons,tanya.gill@hotmail.com,6933512774,35JYTZM1300I6Z6,OKMIE9964K,Automotive & Kids
SUP0004,"Mishra, Pothuvaal and Sharma",trilokesh.butt@yahoo.co.in,9002283961,33YUHUU1695U5Z0,AHUVM9916E,Garden & Industrial
SUP0005,Pothuvaal-Gupta,bhisham.gupta@hotmail.com,7310481516,06TLLFK4647Z0ZQ,GOJKX9980U,Books & Clothing
SUP0006,Pandey-Sethi,chinmayananda.jha@hotmail.com,9881947258,22PYUWY0935I3ZY,QWVRK3467N,Automotive
SUP0007,Mukhopadhyay-Bhattathiri,mohinder.menon@gmail.com,6257983723,11YISOM9805K9Z1,XSVBV3642G,Computers
SUP0008,Bharadwaj Pvt Ltd,girik.pilla@hotmail.com,7240726130,25AJFEE1525R1Z1,CDWDA3636A,"Automotive, Music & Sports"
SUP0009,Menon Ltd,siddhran.namboothiri@gmail.com,7834300705,25WOBJX3071A7ZV,KSMRN8040O,Movies
SUP0010,Pandey-Trivedi,girish.desai@hotmail.com,9995691715,06KLINS7913Q0Z0,QJPMF5363R,Grocery
SUP0011,"Chattopadhyay, Talwar and Guha",devangana.pilla@gmail.com,7840518471,13VJVGD5553X1Z3,ZFXLW3210U,Health
SUP0012,Kaniyar-Nambeesan,avani.mehrotra@yahoo.co.in,6147347663,13GYCSK1876B7ZU,ISEBP9198B,"Books, Electronics & Movies"
SUP0013,Gupta and Sons,agrata.dutta@hotmail.com,6850043279,27GDRSK8175B7Z4,KMQTV8408P,Automotive
SUP0014,"Marar, Verma and Gowda",digambar.menon@gmail.com,8182690441,20UHCBD7312C4ZP,KPUNV9683V,"Automotive, Baby & Grocery"
SUP0015,Rana Group,aruna.mehrotra@hotmail.com,7487089684,02PFBAW1482W9Z6,NRATB5105B,Industrial
SUP0016,Adiga-Patel,dandak.shukla@hotmail.com,8467359079,29IHILY0884G0Z3,QLYXJ0664D,Baby & Health
SUP0017,"Trivedi, Sharma and Dwivedi",mukesh.varman@hotmail.com,7878137544,22KVYCP3301W9ZD,XOPUZ6636C,Jewelry
